source_distribution,dimension,max_val,encoding_max_val,beta,rate,distortion,n_inputs,n_outputs,coverage,vocabulary_size,n_outputs_never_received,n_inputs_representable,self_transmission_mean,self_transmission_median,self_transmission_max,n_survive_above_0.5,n_survive_above_0.25,n_survive_above_0.1,most_faithful_belief,n_prototypes,basin_1_belief,basin_1_share,basin_2_belief,basin_2_share,basin_3_belief,basin_3_share
uniform,3,21,20,70.421,10.835257654161147,0.01970241472732375,9261,8000,0.9,5810,2190,8000,0.5642038506360809,0.6147878055699735,1.0,5229,6698,7128,"(1, 1, 1)",6589,"(14, 17, 19)",0.0006478781988986071,"(17, 14, 19)",0.0006478781988986071,"(16, 19, 11)",0.0006478781988986071
uniform,3,21,20,98.407,11.49319768900839,0.011738835759886632,9261,8000,0.9,6560,1440,8000,0.7165816607752261,0.7568191926564185,1.0,6782,7703,7859,"(1, 1, 1)",7563,"(19, 18, 19)",0.00043191879926573806,"(12, 19, 19)",0.00043191879926573806,"(18, 19, 19)",0.00043191879926573806
uniform,3,21,20,137.51500000000001,12.043590145844597,0.006950829771436583,9261,8000,0.9,6761,1239,8000,0.8363977666870311,0.8934276319014784,1.0,7621,7845,7891,"(1, 1, 1)",7787,"(19, 19, 20)",0.00032393909944930353,"(20, 1, 1)",0.00032393909944930353,"(15, 20, 20)",0.00032393909944930353
uniform,3,21,20,192.166,12.427026023711672,0.004550259473606868,9261,8000,0.9,6891,1109,8000,0.9147452270456636,0.9650536815187842,1.0,7811,7918,7945,"(1, 1, 1)",7861,"(20, 20, 20)",0.00032393909944930353,"(19, 20, 20)",0.00032393909944930353,"(20, 1, 1)",0.00032393909944930353
uniform,3,21,20,268.535,12.649674982143516,0.003548868907512322,9261,8000,0.9,6974,1026,8000,0.9580337014326243,0.9927219936479821,1.0,7908,7957,7981,"(1, 1, 1)",7924,"(20, 20, 20)",0.00032393909944930353,"(19, 20, 20)",0.00032393909944930353,"(20, 1, 1)",0.00032393909944930353
uniform,3,21,20,375.254,12.768075554858491,0.003167476512129099,9261,8000,0.9,7027,973,8000,0.9803795068631346,0.9992197237375864,1.0,7957,7993,8000,"(1, 1, 1)",7981,"(20, 20, 20)",0.00032393909944930353,"(19, 20, 20)",0.00032393909944930353,"(18, 20, 20)",0.00032393909944930353
uniform,3,21,20,524.385,12.831026755674376,0.0030224479186923437,9261,8000,0.9,7054,946,8000,0.9916473445290385,0.99996180172499,1.0,7993,8000,8000,"(1, 1, 1)",7999,"(20, 20, 20)",0.00032393909944930353,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353
uniform,3,21,20,732.783,12.864847667578935,0.0029666736520709697,9261,8000,0.9,7067,933,8000,0.9969885144261466,0.9999994098508899,1.0,8000,8000,8000,"(1, 1, 1)",8000,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353,"(5, 13, 20)",0.00032393909944930353
uniform,3,21,20,1024.0,12.882310367103226,0.002946026712387,9261,8000,0.9,7072,928,8000,0.9991547743384263,0.9999999983188567,1.0,8000,8000,8000,"(1, 1, 1)",8000,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353,"(5, 13, 20)",0.00032393909944930353
uniform,3,22,20,0.122,1.617812010495282e-11,11.63872000425715,10648,8000,0.9,1,7999,8000,0.00012500000000213946,0.0,0.9999999995305521,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
