generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
10,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.01223462972033495,0.0
10,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787531,0.0
11,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334948,0.0
11,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787532,0.0
12,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334945,0.0
12,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875296,0.0
13,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334941,0.0
13,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875296,0.0
14,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.01223462972033494,0.0
14,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.284559108778753,0.0
15,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334936,0.0
15,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787528,0.0
16,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334934,0.0
16,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875273,0.0
17,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334931,0.0
17,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.28455910877875273,0.0
18,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.01223462972033493,0.0
18,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787527,0.0
19,0,0.1220477193397777,1.316818900780881e-07,11.079815875557756,-0.012234629720334926,0.0
19,1,0.1220477193397777,1.316818900780881e-07,11.079815875557756,0.2845591087787527,0.0
0,0,0.1705510878300092,0.1701429395066567,10.047903618966044,0.6931471805599441,0.0
0,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.9899409166847176,0.0
1,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.13670620102969883,0.0
1,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.17012021081492867,0.0
2,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.1594562329973731,0.0
2,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.149996667209911,0.0
3,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.1610485638171849,0.0
3,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14858789747281181,0.0
4,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.16114151376595934,0.0
4,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14850560850707173,0.0
5,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.16114686256538713,0.0
5,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.1485008706589684,0.0
6,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.16114717017445346,0.0
6,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14850059803597154,0.0
7,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.16114718787441015,0.0
7,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14850058234005226,0.0
8,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.16114718889354052,0.0
8,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14850058143576117,0.0
9,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.16114718895226168,0.0
9,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14850058138362288,0.0
10,0,0.1705510878300092,0.1701429395066567,10.047903618966044,-0.1611471889556472,0.0
10,1,0.1705510878300092,0.1701429395066567,10.047903618966044,0.14850058138061384,0.0
